CanonicalName,Category,Synonyms
.NET,Programming,dotnet|.net core|.net framework
C#,Programming,csharp|c-sharp|c sharp
C++,Programming,cpp|c plus plus|cplusplus
C,Programming,
Java,Programming,
JavaScript,Programming,js|ecmascript|es6
TypeScript,Programming,ts
Python,Programming,py|python3
R,Programming,
Ruby,Programming,rb
Go,Programming,golang
Rust,Programming,rustlang
Swift,Programming,
Kotlin,Programming,
Scala,Programming,
PHP,Programming,
Perl,Programming,
Objective-C,Programming,
Dart,Programming,
Lua,Programming,
MATLAB,Programming,
Bash,Programming,
PowerShell,Programming,
Shell Scripting,Programming,
SQL,Database,
NoSQL,Database,
PostgreSQL,Database,postgres|psql
MySQL,Database,
SQL Server,Database,sqlserver|mssql|ms sql|microsoft sql server|t-sql
MongoDB,Database,mongo
Redis,Database,
Elasticsearch,Database,elastic
Cassandra,Database,
DynamoDB,Database,dynamo|dynamodb
MariaDB,Database,mariadb
SQLite,Database,
Oracle Database,Database,oracledb|oracle db
Neo4j,Database,
Couchbase,Database,
Azure,Cloud,microsoft azure|azure cloud
AWS,Cloud,aws cloud|amazon web services|amazon aws
GCP,Cloud,google cloud|google cloud platform
Docker,DevOps,
Kubernetes,DevOps,k8s|kube|openshift
Git,DevOps,
CI/CD,DevOps,azure devops|github actions|gitlab ci|gitlab-ci|circleci|travis ci|bamboo|teamcity|devops|devsecops
Jenkins,DevOps,
Terraform,DevOps,infrastructure as code|iac
Ansible,DevOps,
Puppet,DevOps,
Chef,DevOps,
Vagrant,DevOps,
Linux,Infrastructure,
Windows Server,Infrastructure,
Networking,Infrastructure,
Virtualization,Infrastructure,
VMware,Infrastructure,
Hyper-V,Infrastructure,
Load Balancing,Infrastructure,
DNS,Infrastructure,
Firewalls,Infrastructure,
VPN,Infrastructure,
Active Directory,Infrastructure,
LDAP,Infrastructure,
HTML,Frontend,
CSS,Frontend,
SASS,Frontend,
LESS,Frontend,
Tailwind CSS,Frontend,
Bootstrap,Frontend,
React,Frontend,reactjs|react.js
Angular,Frontend,angularjs|angular.js
Vue,Frontend,vuejs|vue.js
Svelte,Frontend,sveltejs
Next.js,Frontend,nextjs
Nuxt.js,Frontend,nuxtjs
Node.js,Backend,node|nodejs
Express.js,Backend,express|expressjs
Nest.js,Backend,nestjs
Django,Backend,
Flask,Backend,
FastAPI,Backend,
Ruby on Rails,Backend,
Spring Boot,Backend,
Laravel,Backend,
Symfony,Backend,
ASP.NET,Backend,aspnet|asp.net|asp.net core|asp.net mvc
Entity Framework,Backend,entityframework|ef core|ef
Blazor,Backend,
.NET MAUI,Mobile,
WPF,Desktop,
WinForms,Desktop,
Xamarin,Mobile,
Flutter,Mobile,
React Native,Mobile,
Ionic,Mobile,
Electron,Desktop,
REST,API,
GraphQL,API,
gRPC,API,
SOAP,API,
WebSockets,API,
OAuth,Security,
JWT,Security,
API Design,Architecture,
Microservices,Architecture,
Serverless,Architecture,
Event-Driven Architecture,Architecture,
Message Queues,Architecture,
RabbitMQ,Architecture,rabbitmq|rabbit mq
Apache Kafka,Architecture,kafka
Azure Service Bus,Architecture,
Agile,Project Management,
Scrum,Project Management,
Kanban,Project Management,
Lean,Project Management,
Six Sigma,Project Management,
Waterfall,Project Management,
SAFe,Project Management,
Project Management,Project Management,pm|projektledelse|projektstyring
Product Management,Project Management,product manager|produktchef
Program Management,Project Management,programstyring
Portfolio Management,Project Management,porteføljestyring
Business Analysis,Business,ba|forretningsanalyse
Requirements Gathering,Business,kravindsamling
Stakeholder Management,Business,interessenthåndtering
Change Management,Business,forandringsledelse
Risk Management,Business,risikostyring
ITIL,Business,
PRINCE2,Business,
PMP,Business,
ServiceNow,Business,
Jira,Tools,jira
Confluence,Tools,confluence
Trello,Tools,trello
Asana,Tools,asana
Monday.com,Tools,monday
Microsoft Project,Tools,ms project
Salesforce,CRM,salesforce crm|sfdc
HubSpot,CRM,hubspot crm
Dynamics 365,CRM,ms dynamics|dynamics crm|d365
Zoho CRM,CRM,
Pipedrive,CRM,
CRM,Business,
ERP,Business,
SAP,ERP,
Oracle ERP,ERP,
NetSuite,ERP,
Odoo,ERP,
Microsoft Dynamics,ERP,navision
Excel,Office,ms excel|microsoft excel
Word,Office,ms word|microsoft word
PowerPoint,Office,ms powerpoint|microsoft powerpoint
Outlook,Office,
Microsoft 365,Office,
Google Workspace,Office,g suite
SharePoint,Office,
OneDrive,Office,
Teams,Office,
Slack,Office,
Zoom,Office,
Power BI,Data,powerbi|power-bi
Tableau,Data,tableau desktop
Looker,Data,
Qlik,Data,qlikview|qliksense
Metabase,Data,
Data Analysis,Data,data analytics|data analyst|dataanalyse|business intelligence|bi
Data Visualization,Data,
Data Modeling,Data,
Data Warehousing,Data,
ETL,Data,etl pipelines|data integration
Data Engineering,Data,
Data Science,Data,
Machine Learning,AI,ml|machine-learning
Deep Learning,AI,dl|deep-learning
Natural Language Processing,AI,nlp
Computer Vision,AI,cv
Artificial Intelligence,AI,ai|artificial intelligence
Neural Networks,AI,neural nets
TensorFlow,AI,tf|tensorflow
PyTorch,AI,pytorch
Scikit-learn,AI,sklearn|scikit learn
Keras,AI,
OpenCV,AI,
Pandas,Data,
NumPy,Data,
Jupyter,Data,
Statistics,Data,statistical analysis|statistik
Predictive Analytics,Data,
A/B Testing,Data,
Data Mining,Data,
Big Data,Data,
Hadoop,Data,
Spark,Data,
Databricks,Data,
Snowflake,Data,
Data Entry,Data,
Data Quality,Data,
Master Data Management,Data,
Customer Service,Customer Service,customer care|kundeservice|service|kunderejse
Customer Support,Customer Service,kundesupport|servicekoordinator|support
Technical Support,Customer Service,tech support|teknisk support|it support|it-support
Help Desk,Customer Service,helpdesk
Call Center,Customer Service,callcentre|call center|kontaktcenter|kundecentre
Live Chat Support,Customer Service,
Complaint Handling,Customer Service,
Customer Experience,Customer Service,
Customer Success,Customer Service,
Client Relations,Customer Service,
Retail Sales,Sales,salg|detailsalg
B2B Sales,Sales,b2b salg|b2b|erhvervssalg
B2C Sales,Sales,b2c
Inside Sales,Sales,
Outside Sales,Sales,
Field Sales,Sales,
Enterprise Sales,Sales,
Solution Selling,Sales,
Consultative Selling,Sales,
Lead Generation,Sales,lead gen|leadgenerering
Cold Calling,Sales,cold outreach|kold kanvas
Prospecting,Sales,
Sales Pipeline,Sales,
CRM Management,Sales,
Account Management,Sales,account manager|kontoansvarlig
Key Account Management,Sales,kundechef|kam
Territory Management,Sales,
Sales Forecasting,Sales,
Negotiation,Sales,forhandling|forhandlingsteknik
Closing,Sales,
Upselling,Sales,
Cross-selling,Sales,
Presentation Skills,Communication,
Public Speaking,Communication,
Marketing,Marketing,markedsføring
Digital Marketing,Marketing,digital markedsføring|online markedsføring
Content Marketing,Marketing,content markedsføring|indholdsmarkedsføring
Inbound Marketing,Marketing,
Outbound Marketing,Marketing,
Brand Management,Marketing,branding
Brand Strategy,Marketing,varemærkestrategi
SEO,Marketing,search engine optimization|søgemaskineoptimering
SEM,Marketing,search engine marketing|sem
PPC,Marketing,ppc|pay per click
Google Ads,Marketing,google adwords|adwords
Facebook Ads,Marketing,fb ads|meta ads
LinkedIn Ads,Marketing,
Display Advertising,Marketing,
Programmatic Advertising,Marketing,
Affiliate Marketing,Marketing,
Influencer Marketing,Marketing,
Content Writing,Marketing,indholdsskrivning
Copywriting,Marketing,tekstforfatning|tekstforfatter
Technical Writing,Marketing,teknisk skrivning
Blog Writing,Marketing,
Ghostwriting,Marketing,
Editing,Marketing,redigering
Proofreading,Marketing,korrektur
Social Media,Marketing,sociale medier|some
Social Media Marketing,Marketing,
Community Management,Marketing,community manager
Email Marketing,Marketing,e-mail marketing|nyhedsbrev
Marketing Automation,Marketing,marketing automation
Mailchimp,Marketing,
HubSpot Marketing,Marketing,
Marketo,Marketing,
Pardot,Marketing,
Google Analytics,Marketing,
Adobe Analytics,Marketing,
Web Analytics,Marketing,
Conversion Rate Optimization,Marketing,
Landing Page Optimization,Marketing,
Market Research,Research,markedsundersøgelse
Competitive Analysis,Research,
Consumer Insights,Research,
Graphic Design,Design,grafisk design|grafiker
Visual Design,Design,visuel design
UI Design,Design,ui|brugerflade
UX Design,Design,ux|brugeroplevelse
UI/UX,Design,ui/ux
User Research,Research,brugerundersøgelse
Wireframing,Design,wireframe
Prototyping,Design,prototype
Interaction Design,Design,
Information Architecture,Design,
Design Systems,Design,
Figma,Design,figma design
Sketch,Design,
Adobe XD,Design,
InVision,Design,
Zeplin,Design,
Adobe Photoshop,Design,adobe ps|photoshop
Adobe Illustrator,Design,illustrator
Adobe InDesign,Design,indesign|id
InDesign,Design,
Adobe Premiere Pro,Video,premiere
Adobe After Effects,Video,after effects|ae
Final Cut Pro,Video,final cut|fcp
DaVinci Resolve,Video,davinci
Video Editing,Video,videoredigering
Video Production,Video,videoproduktion
Motion Graphics,Video,motion design
Animation,Video,animation
3D Modeling,3D,3d modellering|3d-modellering
3D Animation,3D,3d animation
Blender,3D,
Maya,3D,
Cinema 4D,3D,
ZBrush,3D,
Canva,Design,
CorelDRAW,Design,
Photography,Media,fotografi
Photo Editing,Media,billedredigering
Lightroom,Media,
AutoCAD,Engineering,autocad
SolidWorks,Engineering,solidworks|solid works
CATIA,Engineering,
Inventor,Engineering,inventor
Fusion 360,Engineering,fusion360
Revit,Engineering,revit
SketchUp,Engineering,sketchup
Rhino,Engineering,rhinoceros|rhino3d
CNC,Manufacturing,cnc maskine
CNC Programming,Manufacturing,cnc programmering
G-Code,Manufacturing,
CAD,Engineering,cad
CAM,Manufacturing,cam
3D Printing,Manufacturing,3d print|additiv fremstilling
Rapid Prototyping,Manufacturing,
Manufacturing,Manufacturing,produktion|fremstilling
Production Planning,Manufacturing,produktionsplanlægning
Production Management,Manufacturing,produktionsstyring
Process Improvement,Manufacturing,procesforbedring
Process Optimization,Manufacturing,procesoptimering
Quality Assurance,Quality,kvalitetssikring|qa|q/a
Quality Control,Quality,kvalitetskontrol|qc
ISO 9001,Quality,
ISO 14001,Quality,
ISO 27001,Quality,
GMP,Quality,
HACCP,Quality,
Auditing,Quality,
Inspection,Quality,
Testing,Quality,test
Software Testing,Quality,softwaretest
Manual Testing,Quality,manuel test
Automated Testing,Quality,automatiseret test
Test Automation,Quality,testautomatisering|sdet
Selenium,Quality,
Cypress,Quality,
Playwright,Quality,
JUnit,Quality,
NUnit,Quality,
xUnit,Quality,
Performance Testing,Quality,
Load Testing,Quality,
Security Testing,Quality,
Penetration Testing,Quality,penetrationstest
Unit Testing,Quality,enhedstest
Integration Testing,Quality,integrationstest
